Datetime,Username,Text
2022-12-17 11:39:34+00:00,liputan6dotcom,"Masih ingat dengan salah satu pasal di RKUHP yang sempat menjadi topik pembicaraan hangat beberapa tahun belakangan? Yup, pasal 411, 413, serta 417 ayat 2, yang berisi tuntutan terhadap perbuatan zina 

@firtual.id #rkuhp #rkuhpjadiuu #rkuhpsudahsah"
2022-12-17 11:24:41+00:00,BungDenni,"@HidayatBiin Seriusan nder? Barusan download RKUHP dr Gugel, dapetnya ini. Terus ada juga berita dari Pikiran Rakyat https://t.co/Uhda66aIHN"
2022-12-17 10:54:11+00:00,wuikwok,"@txtdrberseragam https://t.co/Oxwi9Eqkc4
Keluarin dekrit presiden tahun ini ? 
#rkuhp 
#Bank"
2022-12-17 10:53:15+00:00,4DemocracyID,"Demo RKUHP, Aliansi BEM Tasikmalaya Duduki Gedung DPRD Kota Tasikmalaya https://t.co/NvcgekmFSg lewat @YouTube"
2022-12-17 10:44:47+00:00,BidikUtama,"https://t.co/JHyTZdT51o – Rancangan Kitab Undang-Undang Hukum Pidana (RKUHP) yang banyak menjadi perbincangan rakyat Indonesia sudah disahkan menjadi Kitab Undang-undang Hukum Pidana (KUHP) pada (6/12). Hal ini pun menuai tanggapan...

Selengkapnya:
https://t.co/4ZSso3VIRi https://t.co/v900qbrV3I"
2022-12-17 10:11:19+00:00,CeritaAHY_,"Jika melihat RKUHP posisinya sebagai RUU Prioritas di 2022 ini, make sense jika ditargetkan disahkan tahun 2022. Namun  #AHYPimpinPerubahan"
2022-12-17 09:39:59+00:00,fenyanastasia96,"@ataupah_frenky RKUHP menyesuaikan hukum pidana modern yang universal yang berfokus pada keadilan korektif, restoratif dan rehabilitatif"
2022-12-17 09:39:48+00:00,fenyanastasia96,@ataupah_frenky Pembaruan RKUHP merupakan bentuk penghormatan terhadap hukum yang berlaku di masyarakat
2022-12-17 09:39:02+00:00,fenyanastasia96,@ataupah_frenky RKUHP menjamin kepastian hukum serta menjadikan KUHP di Tanah Air semakin berorientasi pada hukum pidana modern
2022-12-17 09:38:48+00:00,fenyanastasia96,@ataupah_frenky RKUHP yang baru sdh sangat ideal untuk menggantikan KUHP zaman kolonial BelandaRKUHP yang baru sdh sangat ideal untuk menggantikan KUHP zaman kolonial Belanda
2022-12-17 09:38:43+00:00,fenyanastasia96,@ataupah_frenky RKUHP memperbaiki sistem hukum saat ini dan untuk kebaikan rakyat Indonesia
2022-12-17 09:38:37+00:00,fenyanastasia96,@ataupah_frenky RKUHP dibuat secara profesional dan kredibel
2022-12-17 09:38:33+00:00,fenyanastasia96,@ataupah_frenky Save RKUHP
2022-12-17 08:56:56+00:00,RenyApriliani4,"Sebab, RKUHP baru bisa berlaku pada 3 tahun mendatang saat disahkan tahun ini.

#JOSHUA_Mindset #ANTIFRAGILE5thWin #LE_SSERAFIM9thWin RIP Legend Desta Diana Susanti Kangen HOME RUN Ehsan Gemesss CAKEP BANGET MC LEEKNOW SPECIAL STAGE https://t.co/eh7rYkw5i5"
2022-12-17 08:50:29+00:00,BenGzl3,"@rizqillah_ @pekerjalab Jika diberi ruang, maka kejadian2 ky RKUHP, urban planning pd KCIC etc bs dibedah lebih faktual o/ yg ahlinya. Tp, pd kondisi saat ini, msh berat utk berharap bs punya ruang leluasa berikan insights meski bertentangan keinginan atasan krn mayoritas msh pemain thailand. https://t.co/hu9BYx1s8H"
2022-12-17 08:25:45+00:00,adipatient,"Mahfud Md menyatakan pasal itu dibentuk bukan untuk melindungi Jokowi. Sebab, RKUHP baru bisa berlaku pada 3 tahun mendatang saat disahkan tahun ini.
giselle
Semarang
RIP Legend
Susanti
Kangen
Pernah
Ranking 1
CAKEP BANGET
The Big 4
Panas https://t.co/4XPi2MFZeV"
2022-12-17 07:59:19+00:00,WartaLiveToday,RKUHP Resmi Disahkan Jadi UU dalam Paripurna DPR https://t.co/g7ZtEc0NZS
2022-12-17 07:34:15+00:00,okezonenews,"Melalui Rancangan Kitab Undang-undang Hukum Pidana (RKUHP) yang baru disahkan, kini ancaman tindak pelaku pelecehan seksual semakin diperluas. Pemerintah akan selalu melindungi korban. 

@firtual.id

#RKUHP #rkuhpjadiuu #rkuhpsudahsah"
2022-12-17 06:55:59+00:00,ChanLaw3,"Banyak orang berpikir kalau kesalahan atas RKUHP itu adalah kurangnya sosialisasi pada masyarakat. Padahal pihak pemerintah dan DPR mengakui bahwa tim perumus rancangan KUHP ini sudah dibentuk sejak berpuluh-puluh tahun lalu.
#Rkuhpuntuksemua #Rkuhpsah #Indonesia https://t.co/LKfdTSSURq"
2022-12-17 06:53:29+00:00,ChanLaw3,"Disahkannya RKUHP Merupakan Bentuk Pembaharuan Sistem Hukum di Indonesia
#RkuhpuntukSemua #RkuhpSah #indonesia https://t.co/9GWS448qcZ"
2022-12-17 06:47:16+00:00,merdekadotcom,"Masih ingat dg pasal RKUHP yg  menjadi topik pembicaraan hangat belakangan ini? Yup, pasal 411, 413, serta 417 ayat 2, yg berisi tuntutan terhadap perbuatan zina sekarang telah resmi disahkan menjadi Undang-Undang. 

Apa aja isi dari pasal ini? Yuk simak gambarnya

#rkuhp https://t.co/NAayQvSdmY"
2022-12-17 06:38:16+00:00,sfrhlmprl,"@albifadhlurr Waktu demo tentang rkuhp juga gitu kan bi, malah yg pada demo kebanyakan bukan anak FH😂"
2022-12-17 06:11:09+00:00,VIVAcoid,"Pimpinan DPR ketok palu, RUU KUHP kontroversial resmi disahkan menjadi Undang-Undang! 

Tahukah kamu? Kini terdapat pasal khusus untuk menangani kasus penghinaan presiden dan wakil presiden Indonesia, loh!  Yuk, simak infografis di atas!

@firtual.id

#rkuhp #rkuhpjadiuu https://t.co/gO11U8moEe"
2022-12-17 05:56:02+00:00,perjalananbumi,"Lur, Ketua PBHI dan HAM Julius Ibrani mnyatakan bhw upaya buru2 mngesahkan RKUHP itu mmbuktikan tuduhan bhw pmbhsan tdk trbuka, tdk prtisipatif &amp;tdk brmakna. Live Muslimah Bicara. https://t.co/egZZfBGkAB
#KapitalismeBiangMasalah #IslamSolusiKehidupan"
2022-12-17 05:55:59+00:00,Samini36133520,"Catatan UIY terhadap RKUHP

Pertama, pendefinisan pidana yang tidak jelas. Ketidakjelasan definisi ini serta adanya beberapa pasal karet yang bisa menimbulkan tindakan represif dari negara kepada rakyat.

@dakwahkalteng.id https://t.co/MTYMUXiBVr"
2022-12-17 05:55:23+00:00,showmethewaygo,"Besti Ketua PBHI &amp;HAM, Julius Ibrani mnyatakan bhw upaya buru2 mngesahkan RKUHP itu mmbuktikan tuduhan bhw pmbhsan tdk trbuka, tdk prtisipatif &amp;tdk brmakna. Live Muslimah Bicara. https://t.co/hOXp0x3Jaf
#KapitalismeBiangMasalah #IslamSolusiKehidupan"
2022-12-17 05:54:49+00:00,dutakebaikan11,"Ketua PBHI dan HAM Julius Ibrani mnyatakan bhw upaya buru2 mngesahkan RKUHP itu mmbuktikan tuduhan bhw pmbhsan tdk trbuka, tdk prtisipatif &amp;tdk brmakna. Live Muslimah Bicara. https://t.co/RyCrfXg5l2
#KapitalismeBiangMasalah #IslamSolusiKehidupan"
2022-12-17 05:54:18+00:00,pembelajar1453,"Sob, Ketua PBHI &amp;HAM Julius Ibrani mnyatakan bhw upaya buru2 mngesahkan RKUHP itu mmbuktikan tuduhan bhw pmbhsan tdk trbuka, tdk prtisipatif &amp;tdk brmakna. Live Muslimah Bicara. https://t.co/NJpscgFvyS
#KapitalismeBiangMasalah #IslamSolusiKehidupan"
2022-12-17 05:53:19+00:00,Lost19241,"Ketua Badan Pngurus Prstuan Bntuan Hukum &amp;HAM (PBHI) Julius Ibrani mnyatakan bhw upaya buru2 mngesahkan RKUHP itu mmbuktikan tuduhan bhw pmbhsan tdk trbuka, tdk prtisipatif &amp;tdk brmakna. Live Muslimah Bicara. https://t.co/gYffbgfAPl
#KapitalismeBiangMasalah #IslamSolusiKehidupan"
2022-12-17 05:42:39+00:00,AngelGeraldine7,"Sebab, RKUHP baru bisa berlaku pada 3 tahun mendatang saat disahkan tahun ini.

#JKT4811thAnnivConcert #BANGYEDAM #JOSHUA_Mindset Ranking 1 Congratulations Jimin Susanti Graduation Kangen FajRi Nestle Pandu Pernah CAKEP BANGET Jeno Siang https://t.co/m9ljAqsO78"
2022-12-17 05:19:53+00:00,di_y4nie,"KUHP maupun RKUHP (yang dinilai tidak bisa memenuhi semua aspirasi rakyat) memperlihatkan pada kita bahwa sebaik apa pun manusia berusaha membuat aturan, 
""Live Muslimah Bicara""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
""RUU KUHP"""
2022-12-17 05:17:16+00:00,di_y4nie,"Menurutnya pula, RKUHP ini juga belum sejalan dengan HAM dan nilai demokrasi. (Detik News, 25/06/2022).
""Live Muslimah Bicara""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
""RUU KUHP"""
2022-12-17 05:10:54+00:00,gethuklindrirek,"Melanjutkan pembahasan mengenai RKUHP yang masih digodok, pakar hukum dari Universitas Al Azhar Indonesia, Suparji Ahmad, menyoroti bahwa RKUHP masih bernuansa kolonial.
Pengesahan UU-KUHP
#IslamSolusiKehidupan
#KapitalismeBiangMasalah"
2022-12-17 05:09:46+00:00,di_y4nie,"Melanjutkan pembahasan mengenai RKUHP yang masih digodok, pakar hukum dari Universitas Al Azhar Indonesia, Suparji Ahmad, menyoroti bahwa RKUHP masih bernuansa kolonial. 
""Live Muslimah Bicara""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
""RUU KUHP"""
2022-12-17 05:07:43+00:00,gethuklindrirek,"Guru Besar Ilmu hukum Universitas Jenderal Soedirman (Unsoed) menyampaikan sebaiknya draf RKUHP dibuka ke publik agar publik bisa memberikan pandangan atas aturan tersebut.
Pengesahan UU-KUHP
#IslamSolusiKehidupan
#KapitalismeBiangMasalah"
2022-12-17 05:07:23+00:00,gethuklindrirek,"Apalagi para dewan sepertinya menutup rapat draf RKUHP ini.
Pengesahan UU-KUHP
#IslamSolusiKehidupan
#KapitalismeBiangMasalah"
2022-12-17 05:06:50+00:00,gethuklindrirek,"Silang pendapat mengenai pasal-pasal Rancangan Kitab Undang-Undang Pidana (RKUHP) masih berlanjut.
Pengesahan UU-KUHP
#IslamSolusiKehidupan
#KapitalismeBiangMasalah"
2022-12-17 05:05:40+00:00,di_y4nie,"Dari sini dapat dikatakan jika benar RKUHP bernuansa kolonial, berarti aturan ini memiliki sifat seperti aturan zaman penjajahan.
""Live Muslimah Bicara""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
""RUU KUHP"""
2022-12-17 05:05:24+00:00,AisyahAin14,"Tarik Ulur RKUHP, Begini Cara Islam Berantas Tuntas L687
https://t.co/apSPWPcn7V

LIVE MUSLIMAH BICARA ""Pengesahan UU-KUHP:Menguatkan Sekulerisme-Liberalisme &amp; Otoritarianisme"" 
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
RUU KUHP / Pengesahan UU-KUHP
Islam Kaffah"
2022-12-17 05:03:36+00:00,IndahAlamku1,"RKUHP Warisan Kolonial, Apakah Masuk Akal?
https://t.co/pRQVHNNpqO

LIVE MUSLIMAH BICARA ""Pengesahan UU-KUHP:Menguatkan Sekulerisme-Liberalisme &amp; Otoritarianisme"" 
https://t.co/qfoo8jJa8f
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
RUU KUHP / Pengesahan UU-KUHP
Islam Kaffah"
2022-12-17 05:02:58+00:00,di_y4nie,"Ia menyampaikan sebaiknya situs Dewan Perwakilan Rakyat digunakan untuk memperlihatkan proses pembuatan UU, termasuk RKUHP ini. (Detik News, 28/06/2022).
""Live Muslimah Bicara""
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
""RUU KUHP"""
2022-12-17 05:02:07+00:00,AisyahAin14,"Ada Apa di Balik Pengesahan RKUHP?
https://t.co/A7G93JdyI6

LIVE MUSLIMAH BICARA ""Pengesahan UU-KUHP:Menguatkan Sekulerisme-Liberalisme &amp; Otoritarianisme"" 
https://t.co/LdPdYGOjej
#IslamSolusiKehidupan
#KapitalismeBiangMasalah
RUU KUHP / Pengesahan UU-KUHP
Islam Kaffah"
